name,url,rate_organic,rate_climate,rate_water_savy,rate_social,rate_governance,rate_waste,rate_adverse
BrasserieGeorges,"https://www.google.com/maps/place/Brasserie+Georges/@45.7482668,4.8122838,15z/data=!4m10!1m2!2m1!1srestaurants+lyon!3m6!1s0x47f4ea4b3d8af4f7:0x9fd71c9b0d71f8b2!8m2!3d45.7482668!4d4.8283066!15sChByZXN0YXVyYW50cyBseW9uWhIiEHJlc3RhdXJhbnRzIGx5b26SARRyZXN0YXVyYW50X2JyYXNzZXJpZeABAA!16s%2Fm%2F09k6fg7?entry=ttu",4.178947368421053,3.276923076923077,4.294117647058823,3.8435754189944134,3.9479166666666665,3.9130434782608696,3.6153846153846154
LikeAnElephant,"https://www.google.com/maps/place/Like+An+Elephant/@45.7600716,4.8185334,14z/data=!3m1!5s0x47f4eae333f23e7f:0xe91c85b57129f9b9!4m10!1m2!2m1!1srestaurant+vegan+lyon!3m6!1s0x47f4eae333f24f49:0x7d22b61070bf8189!8m2!3d45.7736361!4d4.834775!15sChVyZXN0YXVyYW50IHZlZ2FuIGx5b25aFyIVcmVzdGF1cmFudCB2ZWdhbiBseW9ukgEQdmVnYW5fcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOd2RqZElaVUZSRUFF4AEA!16s%2Fg%2F11f_c06cxf?entry=ttu",4.459227467811159,3.973684210526316,3.6153846153846154,4.551181102362205,4.595238095238095,4.515151515151516,3.857142857142857
CulinaHortus,"https://www.google.com/maps/place/Culina+Hortus/@45.7600716,4.8185334,14z/data=!3m1!5s0x47f4eaf91acb1013:0x7d5dba0aae763560!4m11!1m3!2m2!1srestaurant+vegan+lyon!6e5!3m6!1s0x47f4eb5dc2e61c57:0xe67c5e6118fd62a9!8m2!3d45.7666511!4d4.8374171!15sChVyZXN0YXVyYW50IHZlZ2FuIGx5b25aFyIVcmVzdGF1cmFudCB2ZWdhbiBseW9ukgEVdmVnZXRhcmlhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54TWpkSFlXZEJSUkFC4AEA!16s%2Fg%2F11gnqf3zgj?entry=ttu",4.410256410256411,4.220779220779221,4.142857142857143,4.3173076923076925,4.428571428571429,4.545454545454546,4.2
BulleRestaurantdeFourviC3A8reGuyLassausaie,"https://www.google.com/maps/place/Bulle+-+Restaurant+de+Fourvi%C3%A8re+-+Guy+Lassausaie/@45.7613054,4.8212609,15.25z/data=!3m1!5s0x47f4eba90ac325e7:0x88ea11ebb93e781a!4m10!1m2!2m1!1srestaurants+lyon!3m6!1s0x47f4eb7b6a8575f1:0x78af86f45f627f59!8m2!3d45.7618548!4d4.8226127!15sChByZXN0YXVyYW50cyBseW9uWhIiEHJlc3RhdXJhbnRzIGx5b26SARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F11pz19syyj?entry=ttu",4.0732984293193715,3.4954954954954953,2.6538461538461537,3.81055900621118,3.9130434782608696,3.8333333333333335,3.142857142857143
LesFilsC380MamanLyon,"https://www.google.com/maps/place/Les+Fils+%C3%80+Maman+Lyon/@45.7668011,4.8181936,15z/data=!4m11!1m3!2m2!1srestaurants+lyon!6e5!3m6!1s0x47f4eaf9107dd203:0x6ac312a16de93c5b!8m2!3d45.7668011!4d4.837248!15sChByZXN0YXVyYW50cyBseW9uWhIiEHJlc3RhdXJhbnRzIGx5b26SARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1hc1ykz9w?entry=ttu",4.20703125,3.4761904761904763,3.1818181818181817,3.4586466165413534,3.7131782945736433,2.7551020408163267,3.6666666666666665
McDonalds,"https://www.google.com/maps/place/McDonald's/@45.7601278,4.8185334,14z/data=!3m1!5s0x47f4eaf8db47d903:0x89f1e74a8d8e08a9!4m10!1m2!2m1!1smacdo+lyon!3m6!1s0x47f4eaf8daddcaeb:0xc7986b20097d4f70!8m2!3d45.7656489!4d4.8361455!15sCgptYWNkbyBseW9uWgwiCm1hY2RvIGx5b26SARRmYXN0X2Zvb2RfcmVzdGF1cmFudOABAA!16s%2Fg%2F11b8vgq1vz?entry=ttu",2.238095238095238,1.5,2.5064935064935066,1.7142857142857142,1.8203592814371257,1.2941176470588236,2.090909090909091
HippopotamusSteakhouse,"https://www.google.com/maps/place/Hippopotamus+Steakhouse/@45.7600154,4.8185334,14z/data=!3m1!5s0x47f4ea6226c31167:0x6898ed8f2f83980b!4m10!1m2!2m1!1sRestaurants!3m6!1s0x47f4ea63d0609fa3:0xef08d04896ce0e1!8m2!3d45.7600154!4d4.8566422!15sCgtSZXN0YXVyYW50c1oNIgtyZXN0YXVyYW50c5IBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F1th1td7j?entry=ttu",4.106194690265487,3.236842105263158,3.7142857142857144,3.4175824175824174,3.3473053892215567,2.5961538461538463,2.6
Casabea,"https://www.google.com/maps/place/Casabea/@45.7600154,4.8185334,14z/data=!4m10!1m2!2m1!1sRestaurants!3m6!1s0x47f4ea55b2f1d241:0xde388e1096c998f0!8m2!3d45.7617035!4d4.8325829!15sCgtSZXN0YXVyYW50c1oNIgtyZXN0YXVyYW50c5IBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F11hzlyv1b_?entry=ttu",4.1708542713567835,3.9609375,3.5185185185185186,3.735408560311284,3.7891156462585034,3.8461538461538463,2.6470588235294117
LeLaurencin,"https://www.google.com/maps/place/Le+Laurencin/@45.7613054,4.8212609,15.25z/data=!4m10!1m2!2m1!1srestaurants+lyon!3m6!1s0x47f4ebaa95db4679:0x5be8f0448f3e0eae!8m2!3d45.763218!4d4.8278889!15sChByZXN0YXVyYW50cyBseW9uWhIiEHJlc3RhdXJhbnRzIGx5b26SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1t_wnpt8?entry=ttu",3.5625,3.238095238095238,2.966666666666667,3.5016447368421053,2.7846153846153845,2.1538461538461537,2.130434782608696
RESTAURANTLEVIEUXLYON,"https://www.google.com/maps/place/RESTAURANT+LE+VIEUX+LYON/@45.7668011,4.8181936,15z/data=!4m11!1m3!2m2!1srestaurants+lyon!6e5!3m6!1s0x47f4ebaae60af80d:0x41316050870114b4!8m2!3d45.7623386!4d4.8274787!15sChByZXN0YXVyYW50cyBseW9uWhIiEHJlc3RhdXJhbnRzIGx5b26SARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F11csqb5bmv?entry=ttu",4.636363636363637,4.583333333333333,1.0,3.3333333333333335,4.2,1.75,5.0
